Country,total_deaths,date,continent
Albania,0,2020-03-09,Europe
Albania,0,2020-03-10,Europe
Albania,0,2020-03-11,Europe
Albania,1,2020-03-12,Europe
Albania,1,2020-03-13,Europe
Albania,1,2020-03-14,Europe
Albania,1,2020-03-15,Europe
Albania,1,2020-03-16,Europe
Albania,1,2020-03-17,Europe
Albania,1,2020-03-18,Europe
Albania,2,2020-03-19,Europe
Albania,2,2020-03-20,Europe
Albania,2,2020-03-21,Europe
Albania,2,2020-03-22,Europe
Albania,2,2020-03-23,Europe
Albania,4,2020-03-24,Europe
Albania,5,2020-03-25,Europe
Albania,5,2020-03-26,Europe
Albania,6,2020-03-27,Europe
Albania,9,2020-03-28,Europe
Albania,10,2020-03-29,Europe
Albania,10,2020-03-30,Europe
Albania,12,2020-03-31,Europe
Albania,15,2020-04-01,Europe
Albania,15,2020-04-02,Europe
Albania,16,2020-04-03,Europe
Albania,17,2020-04-04,Europe
Albania,19,2020-04-05,Europe
Albania,21,2020-04-06,Europe
Albania,22,2020-04-07,Europe
Albania,22,2020-04-08,Europe
Albania,22,2020-04-09,Europe
Albania,23,2020-04-10,Europe
Albania,23,2020-04-11,Europe
Albania,23,2020-04-12,Europe
Albania,23,2020-04-13,Europe
Albania,23,2020-04-14,Europe
Albania,24,2020-04-15,Europe
Albania,25,2020-04-16,Europe
Albania,26,2020-04-17,Europe
Albania,26,2020-04-18,Europe
Albania,26,2020-04-19,Europe
Albania,26,2020-04-20,Europe
Albania,26,2020-04-21,Europe
Albania,26,2020-04-22,Europe
Albania,27,2020-04-23,Europe
Albania,27,2020-04-24,Europe
Albania,27,2020-04-25,Europe
Albania,27,2020-04-26,Europe
Albania,28,2020-04-27,Europe
Albania,28,2020-04-28,Europe
Albania,30,2020-04-29,Europe
Albania,31,2020-04-30,Europe
Albania,31,2020-05-01,Europe
Albania,31,2020-05-02,Europe
Albania,31,2020-05-03,Europe
Albania,31,2020-05-04,Europe
Albania,31,2020-05-05,Europe
Albania,31,2020-05-06,Europe
Albania,31,2020-05-07,Europe
Albania,31,2020-05-08,Europe
Albania,31,2020-05-09,Europe
Albania,31,2020-05-10,Europe
Albania,31,2020-05-11,Europe
Albania,31,2020-05-12,Europe
Albania,31,2020-05-13,Europe
Albania,31,2020-05-14,Europe
Albania,31,2020-05-15,Europe
Albania,31,2020-05-16,Europe
Albania,31,2020-05-17,Europe
Albania,31,2020-05-18,Europe
Albania,31,2020-05-19,Europe
Albania,31,2020-05-20,Europe
Albania,31,2020-05-21,Europe
Albania,31,2020-05-22,Europe
Albania,31,2020-05-23,Europe
Albania,31,2020-05-24,Europe
Albania,32,2020-05-25,Europe
Albania,32,2020-05-26,Europe
Albania,33,2020-05-27,Europe
Albania,33,2020-05-28,Europe
Albania,33,2020-05-29,Europe
Albania,33,2020-05-30,Europe
Albania,33,2020-05-31,Europe
Albania,33,2020-06-01,Europe
Albania,33,2020-06-02,Europe
Albania,33,2020-06-03,Europe
Albania,33,2020-06-04,Europe
Albania,33,2020-06-05,Europe
Albania,33,2020-06-06,Europe
Albania,34,2020-06-07,Europe
Albania,34,2020-06-08,Europe
Albania,34,2020-06-09,Europe
Albania,34,2020-06-10,Europe
Albania,34,2020-06-11,Europe
Albania,35,2020-06-12,Europe
Albania,36,2020-06-13,Europe
Albania,36,2020-06-14,Europe
Albania,36,2020-06-15,Europe
Albania,36,2020-06-16,Europe
Albania,37,2020-06-17,Europe
Albania,38,2020-06-18,Europe
