Country,diabetes_prevalence,aged_70_older,total_deaths,date
Aruba,11.62,7.452,0,2020-03-13
Aruba,11.62,7.452,0,2020-03-20
Aruba,11.62,7.452,0,2020-03-24
Aruba,11.62,7.452,0,2020-03-25
Aruba,11.62,7.452,0,2020-03-26
Aruba,11.62,7.452,0,2020-03-27
Aruba,11.62,7.452,0,2020-03-28
Aruba,11.62,7.452,0,2020-03-29
Aruba,11.62,7.452,0,2020-03-30
Aruba,11.62,7.452,0,2020-04-01
Aruba,11.62,7.452,0,2020-04-02
Aruba,11.62,7.452,0,2020-04-03
Aruba,11.62,7.452,0,2020-04-04
Aruba,11.62,7.452,0,2020-04-05
Aruba,11.62,7.452,0,2020-04-06
Aruba,11.62,7.452,0,2020-04-07
Aruba,11.62,7.452,0,2020-04-08
Aruba,11.62,7.452,0,2020-04-09
Aruba,11.62,7.452,0,2020-04-10
Aruba,11.62,7.452,0,2020-04-11
Aruba,11.62,7.452,0,2020-04-12
Aruba,11.62,7.452,0,2020-04-13
Aruba,11.62,7.452,0,2020-04-14
Aruba,11.62,7.452,0,2020-04-15
Aruba,11.62,7.452,1,2020-04-16
Aruba,11.62,7.452,1,2020-04-17
Aruba,11.62,7.452,2,2020-04-18
Aruba,11.62,7.452,2,2020-04-19
Aruba,11.62,7.452,2,2020-04-20
Aruba,11.62,7.452,2,2020-04-21
Aruba,11.62,7.452,2,2020-04-22
Aruba,11.62,7.452,2,2020-04-23
Aruba,11.62,7.452,2,2020-04-24
Aruba,11.62,7.452,2,2020-04-25
Aruba,11.62,7.452,2,2020-04-26
Aruba,11.62,7.452,2,2020-04-27
Aruba,11.62,7.452,2,2020-04-28
Aruba,11.62,7.452,2,2020-04-29
Aruba,11.62,7.452,2,2020-04-30
Aruba,11.62,7.452,2,2020-05-01
Aruba,11.62,7.452,2,2020-05-02
Aruba,11.62,7.452,2,2020-05-03
Aruba,11.62,7.452,2,2020-05-04
Aruba,11.62,7.452,2,2020-05-05
Aruba,11.62,7.452,2,2020-05-06
Aruba,11.62,7.452,2,2020-05-07
Aruba,11.62,7.452,3,2020-05-08
Aruba,11.62,7.452,3,2020-05-09
Aruba,11.62,7.452,3,2020-05-10
Aruba,11.62,7.452,3,2020-05-11
Aruba,11.62,7.452,3,2020-05-12
Aruba,11.62,7.452,3,2020-05-13
Aruba,11.62,7.452,3,2020-05-14
Aruba,11.62,7.452,3,2020-05-15
Aruba,11.62,7.452,3,2020-05-16
Aruba,11.62,7.452,3,2020-05-17
Aruba,11.62,7.452,3,2020-05-18
Aruba,11.62,7.452,3,2020-05-19
Aruba,11.62,7.452,3,2020-05-20
Aruba,11.62,7.452,3,2020-05-21
Aruba,11.62,7.452,3,2020-05-22
Aruba,11.62,7.452,3,2020-05-23
Aruba,11.62,7.452,3,2020-05-24
Aruba,11.62,7.452,3,2020-05-25
Aruba,11.62,7.452,3,2020-05-26
Aruba,11.62,7.452,3,2020-05-27
Aruba,11.62,7.452,3,2020-05-28
Aruba,11.62,7.452,3,2020-05-29
Aruba,11.62,7.452,3,2020-05-30
Aruba,11.62,7.452,3,2020-05-31
Aruba,11.62,7.452,3,2020-06-01
Aruba,11.62,7.452,3,2020-06-02
Aruba,11.62,7.452,3,2020-06-03
Aruba,11.62,7.452,3,2020-06-04
Aruba,11.62,7.452,3,2020-06-05
Aruba,11.62,7.452,3,2020-06-06
Aruba,11.62,7.452,3,2020-06-07
Aruba,11.62,7.452,3,2020-06-08
Aruba,11.62,7.452,3,2020-06-09
Aruba,11.62,7.452,3,2020-06-10
Aruba,11.62,7.452,3,2020-06-11
Aruba,11.62,7.452,3,2020-06-12
Aruba,11.62,7.452,3,2020-06-13
Aruba,11.62,7.452,3,2020-06-14
Aruba,11.62,7.452,3,2020-06-15
Aruba,11.62,7.452,3,2020-06-16
Aruba,11.62,7.452,3,2020-06-17
Aruba,11.62,7.452,3,2020-06-18
Aruba,11.62,7.452,3,2020-06-19
Aruba,11.62,7.452,3,2020-06-20
Aruba,11.62,7.452,3,2020-06-21
Aruba,11.62,7.452,3,2020-06-22
Aruba,11.62,7.452,3,2020-06-23
Aruba,11.62,7.452,3,2020-06-24
Aruba,11.62,7.452,3,2020-06-25
Aruba,11.62,7.452,3,2020-06-26
